cluster,rank,feature_index,feature_name,weight
0,1,421,the_patient,0.061082
0,2,462,this,0.049244
0,3,494,which,0.049235
0,4,496,who,0.040189
0,5,428,the_procedure,0.035250
0,6,361,that,0.033457
0,7,411,the_operating_room,0.031381
0,8,302,preoperative_diagnosis,0.029741
0,9,129,diagnosis,0.028482
0,10,303,present_illness,0.028456
1,1,421,the_patient,0.061082
1,2,462,this,0.049244
1,3,494,which,0.049235
1,4,496,who,0.040189
1,5,428,the_procedure,0.035250
1,6,361,that,0.033457
1,7,411,the_operating_room,0.031381
1,8,302,preoperative_diagnosis,0.029741
1,9,129,diagnosis,0.028482
1,10,303,present_illness,0.028456
2,1,421,the_patient,0.061082
2,2,462,this,0.049244
2,3,494,which,0.049235
2,4,496,who,0.040189
2,5,428,the_procedure,0.035250
2,6,361,that,0.033457
2,7,411,the_operating_room,0.031381
2,8,302,preoperative_diagnosis,0.029741
2,9,129,diagnosis,0.028482
2,10,303,present_illness,0.028456
3,1,421,the_patient,0.061082
3,2,462,this,0.049244
3,3,494,which,0.049235
3,4,496,who,0.040189
3,5,428,the_procedure,0.035250
3,6,361,that,0.033457
3,7,411,the_operating_room,0.031381
3,8,302,preoperative_diagnosis,0.029741
3,9,129,diagnosis,0.028482
3,10,303,present_illness,0.028456
4,1,421,the_patient,0.061082
4,2,462,this,0.049244
4,3,494,which,0.049235
4,4,496,who,0.040189
4,5,428,the_procedure,0.035250
4,6,361,that,0.033457
4,7,411,the_operating_room,0.031381
4,8,302,preoperative_diagnosis,0.029741
4,9,129,diagnosis,0.028482
4,10,303,present_illness,0.028456
5,1,421,the_patient,0.061082
5,2,462,this,0.049244
5,3,494,which,0.049235
5,4,496,who,0.040189
5,5,428,the_procedure,0.035250
5,6,361,that,0.033457
5,7,411,the_operating_room,0.031381
5,8,302,preoperative_diagnosis,0.029741
5,9,129,diagnosis,0.028482
5,10,303,present_illness,0.028456
6,1,421,the_patient,0.061082
6,2,462,this,0.049244
6,3,494,which,0.049235
6,4,496,who,0.040189
6,5,428,the_procedure,0.035250
6,6,361,that,0.033457
6,7,411,the_operating_room,0.031381
6,8,302,preoperative_diagnosis,0.029741
6,9,129,diagnosis,0.028482
6,10,303,present_illness,0.028456
7,1,421,the_patient,0.061082
7,2,462,this,0.049244
7,3,494,which,0.049235
7,4,496,who,0.040189
7,5,428,the_procedure,0.035250
7,6,361,that,0.033457
7,7,411,the_operating_room,0.031381
7,8,302,preoperative_diagnosis,0.029741
7,9,129,diagnosis,0.028482
7,10,303,present_illness,0.028456
8,1,421,the_patient,0.061082
8,2,462,this,0.049244
8,3,494,which,0.049235
8,4,496,who,0.040189
8,5,428,the_procedure,0.035250
8,6,361,that,0.033457
8,7,411,the_operating_room,0.031381
8,8,302,preoperative_diagnosis,0.029741
8,9,129,diagnosis,0.028482
8,10,303,present_illness,0.028456
9,1,421,the_patient,0.061082
9,2,462,this,0.049244
9,3,494,which,0.049235
9,4,496,who,0.040189
9,5,428,the_procedure,0.035250
9,6,361,that,0.033457
9,7,411,the_operating_room,0.031381
9,8,302,preoperative_diagnosis,0.029741
9,9,129,diagnosis,0.028482
9,10,303,present_illness,0.028456
